ontime, MNN, MPN, duration, channel
0.00, 76.00, 69.00, 0.50, 0.00
0.50, 71.00, 66.00, 0.50, 0.00
1.00, 72.00, 67.00, 1.00, 0.00
2.00, 69.00, 65.00, 1.00, 0.00
3.00, 71.00, 66.00, 0.50, 0.00
3.50, 68.00, 64.00, 0.50, 0.00
4.00, 64.00, 62.00, 2.00, 0.00
5.00, 52.00, 55.00, 1.00, 1.00
5.00, 59.00, 59.00, 1.00, 1.00
5.00, 62.00, 61.00, 1.00, 1.00
6.00, 66.00, 63.00, 0.50, 0.00
6.50, 68.00, 64.00, 0.50, 0.00
7.00, 52.00, 55.00, 1.00, 1.00
7.00, 54.00, 56.00, 1.00, 1.00
7.00, 62.00, 61.00, 1.00, 1.00
7.00, 69.00, 65.00, 1.00, 0.00
8.00, 52.00, 55.00, 1.00, 1.00
8.00, 56.00, 57.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 1.00
8.00, 71.00, 66.00, 1.00, 0.00
9.00, 45.00, 51.00, 1.00, 1.00
9.00, 72.00, 67.00, 0.50, 0.00
9.50, 77.00, 70.00, 0.50, 0.00
10.00, 52.00, 55.00, 1.00, 1.00
10.00, 60.00, 60.00, 1.00, 1.00
10.00, 76.00, 69.00, 2.00, 0.00
11.00, 44.00, 51.00, 1.00, 1.00
12.00, 43.00, 50.00, 1.00, 1.00
12.00, 79.00, 71.00, 0.50, 0.00
12.50, 74.00, 68.00, 0.50, 0.00
13.00, 55.00, 57.00, 1.00, 1.00
13.00, 60.00, 60.00, 1.00, 1.00
13.00, 64.00, 62.00, 1.00, 1.00
13.00, 76.00, 69.00, 1.00, 0.00
14.00, 60.00, 60.00, 1.00, 1.00
14.00, 64.00, 62.00, 1.00, 1.00
14.00, 69.00, 65.00, 1.00, 1.00
14.00, 72.00, 67.00, 1.00, 0.00
15.00, 74.00, 68.00, 0.50, 0.00
15.50, 71.00, 66.00, 0.50, 0.00
16.00, 55.00, 57.00, 1.00, 1.00
16.00, 62.00, 61.00, 1.00, 1.00
16.00, 65.00, 63.00, 1.00, 1.00
16.00, 67.00, 64.00, 2.00, 0.00
17.00, 55.00, 57.00, 1.00, 1.00
